full_date,timestamp,voltage,current,temperature,flow_rate,hydrogen
15/01/2024,18:47:06,1.00,2.00,33.00,3.00,4.00
15/01/2024,23:34:20,1.00,2.00,32.50,3.00,4.00
15/01/2024,23:34:26,1.00,2.00,32.50,3.00,4.00
16/01/2024,07:57:24,1.00,2.00,32.00,3.00,4.00
16/01/2024,07:59:47,1.00,2.00,32.00,3.00,4.00
16/01/2024,08:00:27,1.00,2.00,32.00,3.00,4.00
16/01/2024,09:15:11,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:15:17,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:15:23,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:15:29,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:15:35,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:15:41,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:15:47,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:15:53,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:15:59,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:16:05,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:16:11,1.00,2.00,31.00,3.00,4.00
16/01/2024,09:16:17,1.00,2.00,31.50,3.00,4.00
16/01/2024,09:16:23,1.00,2.00,31.50,3.00,4.00
16/01/2024,09:16:29,1.00,2.00,31.50,3.00,4.00
16/01/2024,09:16:35,1.00,2.00,32.00,3.00,4.00
16/01/2024,09:38:44,1.00,2.00,36.50,3.00,4.00
16/01/2024,09:38:50,1.00,2.00,36.50,3.00,4.00
16/01/2024,09:38:56,1.00,2.00,36.50,3.00,4.00
16/01/2024,09:39:02,1.00,2.00,36.50,3.00,4.00
16/01/2024,09:39:08,1.00,2.00,36.50,3.00,4.00
16/01/2024,09:39:14,1.00,2.00,36.50,3.00,4.00
16/01/2024,09:39:20,1.00,2.00,36.50,3.00,4.00
16/01/2024,09:39:26,1.00,2.00,37.00,3.00,4.00
16/01/2024,09:39:32,1.00,2.00,37.00,3.00,4.00
16/01/2024,09:39:38,1.00,2.00,36.50,3.00,4.00
16/01/2024,09:39:44,1.00,2.00,36.00,3.00,4.00
16/01/2024,09:39:50,1.00,2.00,35.50,3.00,4.00
16/01/2024,10:08:20,1.00,2.00,30.00,3.00,4.00
16/01/2024,10:08:26,1.00,2.00,30.00,3.00,4.00
16/01/2024,10:08:32,1.00,2.00,30.00,3.00,4.00
16/01/2024,13:10:35,0.02,0.00,25.50,-1.00,27.00
16/01/2024,13:10:44,0.02,0.00,25.44,-1.00,28.00
16/01/2024,13:10:52,0.02,0.00,25.44,-1.00,29.00
16/01/2024,13:11:01,0.02,0.00,25.44,-1.00,30.00
16/01/2024,13:11:09,0.02,0.00,25.44,-1.00,32.00
16/01/2024,13:11:17,0.02,0.00,25.44,-1.00,33.00
16/01/2024,13:11:26,0.02,0.00,25.44,-1.00,34.00
16/01/2024,13:11:34,0.02,0.00,25.37,-1.00,35.00
16/01/2024,13:11:43,0.02,0.00,25.37,-1.00,36.00
16/01/2024,13:11:51,0.02,0.00,25.37,-1.00,37.00
16/01/2024,13:11:59,0.02,0.00,25.37,-1.00,38.00
16/01/2024,13:12:08,0.02,0.00,25.87,-1.00,39.00
16/01/2024,13:12:16,0.02,0.00,26.94,-1.00,40.00
16/01/2024,13:12:24,0.02,0.00,27.19,-1.00,41.00
16/01/2024,13:12:33,0.02,0.00,26.94,-1.00,42.00
