full_date,timestamp,voltage,current,temperature,flow_rate,hydrogen,pulse_count
16/01/2024,14:59:13,1.08,0.00,26.06,-1.00,24.00,0
16/01/2024,14:59:21,1.52,0.00,26.06,-1.00,23.00,0
16/01/2024,14:59:30,1.78,0.00,26.06,-1.00,23.00,0
16/01/2024,14:59:38,1.69,0.00,26.06,-1.00,23.00,0
16/01/2024,14:59:47,1.91,0.00,26.06,-1.00,23.00,0
16/01/2024,14:59:55,0.88,0.00,26.06,-1.00,23.00,0
16/01/2024,15:00:03,1.44,0.00,26.00,-1.00,24.00,0
16/01/2024,15:00:12,1.44,0.00,26.00,-1.00,24.00,0
16/01/2024,15:00:20,1.49,0.00,25.94,-1.00,24.00,0
16/01/2024,15:00:28,1.32,0.00,25.87,-1.00,24.00,0
16/01/2024,15:02:01,0.61,0.00,25.75,-1.00,25.00,0
16/01/2024,15:02:10,0.59,0.00,25.69,-1.00,24.00,0
16/01/2024,15:02:18,0.59,0.00,25.69,-1.00,24.00,0
16/01/2024,15:02:27,0.59,0.00,25.69,-1.00,23.00,0
16/01/2024,15:02:35,0.56,0.00,25.75,-1.00,23.00,0
16/01/2024,15:02:43,0.59,0.00,25.75,-1.00,23.00,0
16/01/2024,15:02:52,0.59,0.00,25.81,1.53,23.00,11
16/01/2024,15:03:00,0.56,0.00,25.81,1.53,23.00,11
16/01/2024,15:03:09,0.00,0.00,25.81,1.53,24.00,11
16/01/2024,15:03:17,0.00,0.00,25.81,1.53,24.00,11
16/01/2024,15:03:25,0.00,0.00,25.81,1.39,25.00,10
16/01/2024,15:03:34,0.00,0.00,25.81,1.53,25.00,11
16/01/2024,15:03:42,3.62,0.00,25.81,1.53,25.00,11
16/01/2024,15:03:50,3.62,0.00,25.81,1.39,26.00,10
16/01/2024,15:03:59,3.59,0.00,25.81,1.39,27.00,10
16/01/2024,15:04:07,3.57,0.00,25.87,1.53,27.00,11
16/01/2024,15:04:16,3.59,0.00,25.75,1.53,26.00,11
16/01/2024,15:04:24,3.57,0.00,25.75,1.53,25.00,11
16/01/2024,15:04:32,3.54,0.00,25.75,1.53,24.00,11
16/01/2024,15:04:41,3.52,0.00,25.69,1.39,23.00,10
16/01/2024,15:04:49,3.52,0.00,25.75,1.53,21.00,11
16/01/2024,15:04:58,3.54,0.00,25.75,1.53,20.00,11
16/01/2024,15:05:06,3.54,0.00,25.75,1.53,19.00,11
16/01/2024,15:05:14,3.52,0.00,25.69,1.39,18.00,10
16/01/2024,15:05:23,3.52,0.00,25.75,1.53,16.00,11
16/01/2024,15:05:31,3.54,0.00,25.75,1.53,15.00,11
16/01/2024,15:05:40,3.47,0.00,25.75,1.39,14.00,10
16/01/2024,15:05:48,3.54,0.00,25.69,1.53,13.00,11
16/01/2024,15:05:56,3.54,0.00,25.56,1.53,11.00,11
16/01/2024,15:06:05,3.52,0.00,25.56,1.39,10.00,10
16/01/2024,15:06:13,3.57,0.00,25.56,1.25,9.00,9
16/01/2024,15:06:22,3.57,0.00,25.50,1.53,9.00,11
16/01/2024,15:06:30,3.57,0.00,25.50,1.53,8.00,11
16/01/2024,15:06:39,3.57,0.00,25.50,1.53,7.00,11
16/01/2024,15:06:47,3.57,0.00,25.50,1.53,6.00,11
16/01/2024,15:06:55,3.54,0.00,25.56,1.53,6.00,11
16/01/2024,15:07:04,3.49,0.00,25.50,1.53,6.00,11
16/01/2024,15:07:12,3.52,0.00,25.50,1.53,5.00,11
16/01/2024,15:07:20,3.52,0.00,25.44,1.53,5.00,11
16/01/2024,15:07:29,3.49,0.00,25.44,1.39,5.00,11
16/01/2024,15:07:37,3.52,0.00,25.44,1.53,5.00,11
16/01/2024,15:07:45,3.54,0.00,25.44,1.53,4.00,11
16/01/2024,15:07:54,3.49,0.00,25.44,1.53,4.00,11
16/01/2024,15:08:02,3.52,0.00,25.37,1.39,4.00,10
16/01/2024,15:08:11,3.49,0.00,25.44,1.53,4.00,11
16/01/2024,15:08:19,3.52,0.00,25.44,1.53,4.00,11
16/01/2024,15:08:27,3.52,0.00,25.50,1.25,4.00,9
16/01/2024,15:08:36,3.52,0.00,25.50,1.53,4.00,11
16/01/2024,15:08:44,3.52,0.00,25.56,1.53,4.00,11
16/01/2024,15:08:53,3.52,0.00,25.56,1.53,5.00,11
16/01/2024,15:09:01,3.49,0.00,25.50,1.53,5.00,11
16/01/2024,15:09:09,3.52,0.00,25.50,1.53,5.00,11
16/01/2024,15:09:18,3.52,0.00,25.56,1.53,5.00,11
16/01/2024,15:09:26,3.52,0.00,25.62,1.53,5.00,11
16/01/2024,15:09:35,3.47,0.00,25.62,1.53,6.00,11
16/01/2024,15:09:43,3.52,0.00,25.62,1.53,6.00,11
16/01/2024,15:09:51,3.52,0.00,25.69,1.53,7.00,11
16/01/2024,15:10:00,3.52,0.00,25.75,1.39,7.00,10
16/01/2024,15:10:08,3.45,0.00,25.75,1.39,7.00,10
16/01/2024,15:10:17,3.52,0.00,25.75,1.53,8.00,11
16/01/2024,15:10:25,3.47,0.00,25.81,1.53,9.00,11
16/01/2024,15:10:33,3.45,0.00,25.75,1.39,10.00,10
16/01/2024,15:10:42,3.47,0.00,25.81,1.53,10.00,11
16/01/2024,15:10:50,3.47,0.00,25.75,1.53,11.00,11
16/01/2024,15:10:59,3.47,0.00,25.81,1.53,11.00,11
16/01/2024,15:11:07,3.47,0.00,25.81,1.53,12.00,11
16/01/2024,15:11:15,3.52,0.00,25.75,1.53,14.00,11
16/01/2024,15:11:24,3.54,0.00,25.75,1.53,16.00,11
16/01/2024,15:11:32,3.54,0.00,25.69,1.53,17.00,11
16/01/2024,15:11:40,3.52,0.00,25.69,1.53,19.00,11
16/01/2024,15:11:49,3.52,0.00,25.69,1.53,21.00,11
16/01/2024,15:11:57,3.52,0.00,25.62,1.39,20.00,10
