full_date,timestamp,voltage,current,temperature,flow_rate,hydrogen,pulse_count
16/01/2024,14:59:13,1.08,0.00,26.06,-1.00,24.00,0
18/01/2024,09:38:39,0.05,0.00,26.69,1.39,24.00,10
18/01/2024,09:38:45,0.05,0.00,26.69,1.39,24.00,10
18/01/2024,09:38:51,0.05,0.00,26.69,1.39,24.00,10
18/01/2024,09:38:57,0.29,0.00,26.69,1.39,25.00,10
18/01/2024,09:39:03,0.32,0.00,26.69,1.39,26.00,10
18/01/2024,09:39:09,0.07,0.00,26.69,1.39,27.00,10
18/01/2024,09:39:15,0.07,0.00,26.69,1.39,29.00,10
18/01/2024,09:39:21,0.05,0.00,26.69,1.39,30.00,10
18/01/2024,09:39:30,0.05,0.00,26.69,1.39,32.00,10
18/01/2024,09:39:36,0.05,0.00,26.69,-1.00,31.00,0
18/01/2024,09:40:32,3.49,0.00,26.69,1.39,23.00,10
18/01/2024,09:40:40,3.52,0.00,26.62,1.39,23.00,10
18/01/2024,09:40:48,3.49,0.00,26.62,1.39,22.00,10
18/01/2024,09:40:57,3.49,0.00,26.62,1.39,21.00,10
18/01/2024,09:41:05,3.52,0.00,26.56,1.39,20.00,10
18/01/2024,09:41:14,3.49,0.00,26.50,1.53,19.00,11
18/01/2024,09:41:22,3.49,0.00,26.50,1.39,18.00,10
18/01/2024,09:41:30,3.52,0.00,26.50,1.39,17.00,10
18/01/2024,09:41:39,3.52,0.00,26.50,1.53,16.00,11
18/01/2024,09:41:47,3.49,0.00,26.50,1.53,16.00,11
18/01/2024,09:41:55,3.49,0.00,26.50,1.53,15.00,11
18/01/2024,09:42:04,3.52,0.00,26.50,1.39,14.00,10
18/01/2024,09:42:12,3.49,0.00,26.44,1.53,13.00,11
18/01/2024,09:42:21,2.64,0.00,26.50,1.25,13.00,9
18/01/2024,09:42:29,3.37,0.00,26.44,1.39,12.00,10
18/01/2024,09:42:37,3.37,0.00,26.44,1.53,11.00,11
18/01/2024,09:42:46,3.37,0.00,26.44,1.53,11.00,11
18/01/2024,09:42:54,3.37,0.00,26.37,1.53,10.00,11
18/01/2024,09:43:03,3.40,0.00,26.37,1.53,9.00,11
18/01/2024,09:43:11,3.52,0.00,26.37,1.39,9.00,10
18/01/2024,09:43:20,3.49,0.00,26.37,1.39,8.00,10
18/01/2024,09:43:26,3.52,0.00,26.37,1.53,8.00,11
18/01/2024,09:43:32,3.52,0.00,26.31,1.53,8.00,11
18/01/2024,09:43:38,3.52,0.00,26.37,1.39,7.00,10
18/01/2024,09:43:44,3.52,0.00,26.37,1.39,7.00,10
18/01/2024,09:43:50,3.52,0.00,26.37,1.39,7.00,10
18/01/2024,09:43:56,3.52,0.00,26.37,1.53,6.00,11
18/01/2024,09:44:02,3.52,0.00,26.37,1.53,6.00,11
18/01/2024,09:44:08,3.52,0.00,26.37,1.53,6.00,11
18/01/2024,09:44:14,3.54,0.00,26.37,1.53,5.00,11
18/01/2024,09:44:20,3.54,0.00,26.37,1.53,5.00,11
18/01/2024,09:44:26,3.52,0.00,26.37,1.39,5.00,10
18/01/2024,09:44:32,3.54,0.00,26.44,1.53,4.00,11
18/01/2024,09:44:38,3.54,0.00,26.37,1.53,4.00,11
18/01/2024,09:44:44,3.52,0.00,26.37,1.53,4.00,11
18/01/2024,09:44:50,3.52,0.00,26.37,1.39,4.00,10
18/01/2024,09:44:56,3.54,0.00,26.37,1.53,3.00,11
18/01/2024,09:45:02,3.54,0.00,26.37,1.39,3.00,10
